Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
chaneut_cha300_neut100,Combined-PROD-DeepSVDD_MSE-Flow,2a,0.36,0.02,0.0,0.0
chaneut_cha300_neut100,Combined-AVG-DeepSVDD_MSE-Flow,2a,0.7,0.08,0.0,0.0
pp24mt_50,Combined-AND-DeepSVDD_MSE-Flow,2b,0.81,0.34,0.19,0.1
pp24mt_50,Combined-OR-DeepSVDD_MSE-Flow,2b,0.97,0.68,0.06,0.01
pp24mt_50,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.55,1.0,0.08,0.02
pp24mt_50,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.93,0.53,0.33,0.18
chaneut_cha200_neut50,Combined-AND-DeepSVDD_MSE-Flow,2b,0.79,0.26,0.1,0.04
chaneut_cha200_neut50,Combined-OR-DeepSVDD_MSE-Flow,2b,0.96,0.59,0.03,0.0
chaneut_cha200_neut50,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.52,1.0,0.04,0.01
chaneut_cha200_neut50,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.9,0.38,0.18,0.07
stlp_st1000,Combined-AND-DeepSVDD_MSE-Flow,2b,1.0,0.98,0.93,0.79
stlp_st1000,Combined-OR-DeepSVDD_MSE-Flow,2b,1.0,0.99,0.05,0.02
stlp_st1000,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.68,1.0,0.19,0.02
stlp_st1000,Combined-AVG-DeepSVDD_MSE-Flow,2b,1.0,1.0,1.0,0.97
chacha_cha600_neut200,Combined-AND-DeepSVDD_MSE-Flow,2b,0.93,0.52,0.3,0.12
chacha_cha600_neut200,Combined-OR-DeepSVDD_MSE-Flow,2b,0.98,0.72,0.01,0.0
chacha_cha600_neut200,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.51,1.0,0.01,0.0
chacha_cha600_neut200,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.98,0.67,0.4,0.16
pp23mt_50,Combined-AND-DeepSVDD_MSE-Flow,2b,0.78,0.24,0.08,0.03
pp23mt_50,Combined-OR-DeepSVDD_MSE-Flow,2b,0.96,0.58,0.02,0.0
pp23mt_50,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.51,1.0,0.03,0.0
pp23mt_50,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.91,0.37,0.15,0.05
chaneut_cha250_neut150,Combined-AND-DeepSVDD_MSE-Flow,2b,0.76,0.23,0.1,0.04
chaneut_cha250_neut150,Combined-OR-DeepSVDD_MSE-Flow,2b,0.96,0.62,0.03,0.0
chaneut_cha250_neut150,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.52,1.0,0.04,0.01
chaneut_cha250_neut150,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.88,0.36,0.17,0.08
chacha_cha400_neut60,Combined-AND-DeepSVDD_MSE-Flow,2b,0.91,0.48,0.25,0.11
chacha_cha400_neut60,Combined-OR-DeepSVDD_MSE-Flow,2b,0.99,0.92,0.01,0.0
chacha_cha400_neut60,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.5,1.0,0.0,0.0
chacha_cha400_neut60,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.97,0.63,0.36,0.16
gluino_1000.0_neutralino_1.0,Combined-AND-DeepSVDD_MSE-Flow,2b,1.0,0.97,0.9,0.67
gluino_1000.0_neutralino_1.0,Combined-OR-DeepSVDD_MSE-Flow,2b,1.0,0.96,0.54,0.31
gluino_1000.0_neutralino_1.0,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.86,1.0,0.59,0.24
gluino_1000.0_neutralino_1.0,Combined-AVG-DeepSVDD_MSE-Flow,2b,1.0,1.0,0.98,0.88
chacha_cha300_neut140,Combined-AND-DeepSVDD_MSE-Flow,2b,0.87,0.35,0.15,0.05
chacha_cha300_neut140,Combined-OR-DeepSVDD_MSE-Flow,2b,0.99,0.86,0.0,0.0
chacha_cha300_neut140,Combined-PROD-DeepSVDD_MSE-Flow,2b,0.5,1.0,0.01,0.0
chacha_cha300_neut140,Combined-AVG-DeepSVDD_MSE-Flow,2b,0.96,0.47,0.19,0.06
glgl1600_neutralino800,Combined-AND-DeepSVDD_MSE-Flow,3,0.93,0.34,0.1,0.03
glgl1600_neutralino800,Combined-OR-DeepSVDD_MSE-Flow,3,0.96,0.44,0.01,0.0
glgl1600_neutralino800,Combined-PROD-DeepSVDD_MSE-Flow,3,0.03,0.0,0.0,0.0
glgl1600_neutralino800,Combined-AVG-DeepSVDD_MSE-Flow,3,0.95,0.4,0.13,0.03
monojet_Zp2000.0_DM_50.0,Combined-AND-DeepSVDD_MSE-Flow,3,0.92,0.37,0.15,0.08
monojet_Zp2000.0_DM_50.0,Combined-OR-DeepSVDD_MSE-Flow,3,0.97,0.63,0.05,0.0
monojet_Zp2000.0_DM_50.0,Combined-PROD-DeepSVDD_MSE-Flow,3,0.02,0.0,0.0,0.0
monojet_Zp2000.0_DM_50.0,Combined-AVG-DeepSVDD_MSE-Flow,3,0.95,0.44,0.16,0.06
gluino_1000.0_neutralino_1.0,Combined-AND-DeepSVDD_MSE-Flow,3,0.99,0.91,0.7,0.41
gluino_1000.0_neutralino_1.0,Combined-OR-DeepSVDD_MSE-Flow,3,0.99,0.85,0.43,0.14
gluino_1000.0_neutralino_1.0,Combined-PROD-DeepSVDD_MSE-Flow,3,0.04,0.03,0.03,0.03
gluino_1000.0_neutralino_1.0,Combined-AVG-DeepSVDD_MSE-Flow,3,1.0,0.94,0.76,0.48
stop2b1000_neutralino300,Combined-AND-DeepSVDD_MSE-Flow,3,0.98,0.72,0.37,0.17
stop2b1000_neutralino300,Combined-OR-DeepSVDD_MSE-Flow,3,0.98,0.67,0.06,0.01
stop2b1000_neutralino300,Combined-PROD-DeepSVDD_MSE-Flow,3,0.02,0.0,0.0,0.0
stop2b1000_neutralino300,Combined-AVG-DeepSVDD_MSE-Flow,3,0.99,0.79,0.44,0.14
sqsq1_sq1400_neut800,Combined-AND-DeepSVDD_MSE-Flow,3,0.94,0.45,0.17,0.05
sqsq1_sq1400_neut800,Combined-OR-DeepSVDD_MSE-Flow,3,0.96,0.45,0.03,0.0
sqsq1_sq1400_neut800,Combined-PROD-DeepSVDD_MSE-Flow,3,0.04,0.0,0.0,0.0
sqsq1_sq1400_neut800,Combined-AVG-DeepSVDD_MSE-Flow,3,0.96,0.51,0.2,0.05
monotop_200_A,Combined-AND-DeepSVDD_MSE-Flow,3,0.91,0.4,0.16,0.06
monotop_200_A,Combined-OR-DeepSVDD_MSE-Flow,3,0.96,0.56,0.02,0.0
monotop_200_A,Combined-PROD-DeepSVDD_MSE-Flow,3,0.03,0.0,0.0,0.0
monotop_200_A,Combined-AVG-DeepSVDD_MSE-Flow,3,0.95,0.45,0.17,0.05
monoV_Zp2000.0_DM_1.0,Combined-AND-DeepSVDD_MSE-Flow,3,0.93,0.43,0.23,0.15
monoV_Zp2000.0_DM_1.0,Combined-OR-DeepSVDD_MSE-Flow,3,0.98,0.7,0.09,0.01
monoV_Zp2000.0_DM_1.0,Combined-PROD-DeepSVDD_MSE-Flow,3,0.02,0.0,0.0,0.0
monoV_Zp2000.0_DM_1.0,Combined-AVG-DeepSVDD_MSE-Flow,3,0.96,0.5,0.24,0.11
stlp_st1000,Combined-AND-DeepSVDD_MSE-Flow,3,0.99,0.92,0.76,0.5
stlp_st1000,Combined-OR-DeepSVDD_MSE-Flow,3,0.99,0.86,0.4,0.1
stlp_st1000,Combined-PROD-DeepSVDD_MSE-Flow,3,0.02,0.01,0.01,0.01
stlp_st1000,Combined-AVG-DeepSVDD_MSE-Flow,3,1.0,0.94,0.79,0.48
sqsq_sq1800_neut800,Combined-AND-DeepSVDD_MSE-Flow,3,0.96,0.58,0.21,0.06
sqsq_sq1800_neut800,Combined-OR-DeepSVDD_MSE-Flow,3,0.98,0.69,0.01,0.0
sqsq_sq1800_neut800,Combined-PROD-DeepSVDD_MSE-Flow,3,0.01,0.0,0.0,0.0
sqsq_sq1800_neut800,Combined-AVG-DeepSVDD_MSE-Flow,3,0.97,0.56,0.15,0.03
glgl1400_neutralino1100,Combined-AND-DeepSVDD_MSE-Flow,3,0.89,0.25,0.07,0.02
glgl1400_neutralino1100,Combined-OR-DeepSVDD_MSE-Flow,3,0.94,0.36,0.01,0.0
glgl1400_neutralino1100,Combined-PROD-DeepSVDD_MSE-Flow,3,0.05,0.0,0.0,0.0
glgl1400_neutralino1100,Combined-AVG-DeepSVDD_MSE-Flow,3,0.92,0.32,0.1,0.02
stop2b1000_neutralino300,Combined-AND-VAE_beta1_z21-Flow,1,0.93,0.36,0.12,0.06
stop2b1000_neutralino300,Combined-OR-VAE_beta1_z21-Flow,1,0.97,0.63,0.02,0.01
stop2b1000_neutralino300,Combined-PROD-VAE_beta1_z21-Flow,1,0.95,0.42,0.13,0.04
stop2b1000_neutralino300,Combined-AVG-VAE_beta1_z21-Flow,1,0.95,0.42,0.13,0.04
glgl1400_neutralino1100,Combined-AND-VAE_beta1_z21-Flow,1,0.76,0.11,0.03,0.02
glgl1400_neutralino1100,Combined-OR-VAE_beta1_z21-Flow,1,0.89,0.35,0.01,0.0
glgl1400_neutralino1100,Combined-PROD-VAE_beta1_z21-Flow,1,0.8,0.14,0.04,0.01
glgl1400_neutralino1100,Combined-AVG-VAE_beta1_z21-Flow,1,0.83,0.14,0.04,0.01
monojet_Zp2000.0_DM_50.0,Combined-AND-VAE_beta1_z21-Flow,1,0.77,0.08,0.01,0.0
monojet_Zp2000.0_DM_50.0,Combined-OR-VAE_beta1_z21-Flow,1,0.94,0.49,0.0,0.0
monojet_Zp2000.0_DM_50.0,Combined-PROD-VAE_beta1_z21-Flow,1,0.82,0.1,0.01,0.0
monojet_Zp2000.0_DM_50.0,Combined-AVG-VAE_beta1_z21-Flow,1,0.85,0.1,0.01,0.0
glgl1600_neutralino800,Combined-AND-VAE_beta1_z21-Flow,1,0.87,0.18,0.05,0.02
glgl1600_neutralino800,Combined-OR-VAE_beta1_z21-Flow,1,0.95,0.49,0.01,0.0
glgl1600_neutralino800,Combined-PROD-VAE_beta1_z21-Flow,1,0.9,0.21,0.05,0.02
glgl1600_neutralino800,Combined-AVG-VAE_beta1_z21-Flow,1,0.91,0.21,0.05,0.02
monotop_200_A,Combined-AND-VAE_beta1_z21-Flow,1,0.83,0.15,0.04,0.02
monotop_200_A,Combined-OR-VAE_beta1_z21-Flow,1,0.95,0.58,0.0,0.0
monotop_200_A,Combined-PROD-VAE_beta1_z21-Flow,1,0.87,0.2,0.05,0.01
