Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
sqsq_sq1800_neut800,VAE-static-beta0.5-z5_RL,1,0.46,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z5_Radius,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z5_RL,1,0.51,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z5_Radius,1,0.54,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z8_RL,1,0.59,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z8_Radius,1,0.53,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z8_RL,1,0.5,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z8_Radius,1,0.52,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z13_RL,1,0.43,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z13_Radius,1,0.54,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z13_RL,1,0.51,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z13_Radius,1,0.59,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z21_RL,1,0.44,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z21_Radius,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z21_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z21_Radius,1,0.61,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z34_RL,1,0.43,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.5-z34_Radius,1,0.53,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z34_RL,1,0.5,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.5-z34_Radius,1,0.6,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z5_RL,1,0.52,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z5_Radius,1,0.68,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z5_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z5_Radius,1,0.59,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z8_RL,1,0.53,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z8_Radius,1,0.83,0.05,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z8_RL,1,0.52,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z8_Radius,1,0.6,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z13_RL,1,0.52,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z13_Radius,1,0.86,0.04,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z13_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z13_Radius,1,0.6,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z21_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z21_Radius,1,0.86,0.06,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z21_RL,1,0.5,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z21_Radius,1,0.6,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z34_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.8-z34_Radius,1,0.82,0.04,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z34_RL,1,0.51,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.8-z34_Radius,1,0.59,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z5_RL,1,0.52,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.999-z5_Radius,1,0.74,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.999-z5_RL,1,0.52,0.02,0.0,0.0
