Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d8,2a,0.96,0.48,0.27,0.18
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d13,2a,0.96,0.41,0.14,0.11
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d21,2a,0.96,0.41,0.14,0.11
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d34,2a,0.95,0.34,0.12,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d55,2a,0.95,0.34,0.08,0.02
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d89,2a,0.95,0.32,0.07,0.05
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d144,2a,0.95,0.33,0.08,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d233,2a,0.95,0.32,0.06,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C10_d377,2a,0.94,0.27,0.07,0.01
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d5,2a,0.96,0.47,0.22,0.14
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d8,2a,0.96,0.48,0.27,0.18
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d13,2a,0.96,0.41,0.14,0.11
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d21,2a,0.96,0.41,0.14,0.11
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d34,2a,0.95,0.34,0.12,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d55,2a,0.95,0.34,0.08,0.02
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d89,2a,0.95,0.32,0.07,0.05
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d144,2a,0.95,0.33,0.08,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d233,2a,0.95,0.32,0.06,0.04
gluino_1000.0_neutralino_1.0,DeepSVDD_C25_d377,2a,0.94,0.27,0.07,0.01
pp23mt_50,DeepSVDD_Reduced_d5,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d8,2a,0.61,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d13,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d21,2a,0.6,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d34,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d55,2a,0.57,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d89,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d144,2a,0.59,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d233,2a,0.56,0.01,0.0,0.0
pp23mt_50,DeepSVDD_Reduced_d377,2a,0.54,0.01,0.0,0.0
pp23mt_50,DeepSVDD_C0_d5,2a,0.59,0.01,0.0,0.0
