Model,MinTotalImprovement,MedianTotalImprovement,MaxTotalImprovement
Flow-Efficient_Likelihood,0.8999999999999999,15.0,54.0
Combined-AND-DeepSVDD-Flow,0.31622776601683794,10.0,79.0
Combined-AVG-DeepSVDD-Flow,0.7999999999999999,10.0,97.0
Flow-Efficient-No-E_Likelihood,0.31622776601683794,8.0,53.0
Combined-PROD-DeepSVDD-Flow,0.0,7.905694150420949,24.0
Combined-AND-VAE_beta1_z21-Flow,0.09999999999999999,7.000000000000001,66.0
Combined-OR-VAE_beta1_z21-Flow,0.3,6.3,22.0
Combined-OR-DeepSVDD-Flow,0.5,6.3,31.0
Combined-PROD-VAE_beta1_z21-Flow,0.09999999999999999,6.0,69.0
Combined-AVG-VAE_beta1_z21-Flow,0.09999999999999999,6.0,69.0
DeepSetVAE_beta_1.0_weight_10.0,0.08333333333333333,3.74761070720423,18.806492372866877
DeepSetVAE_beta_1.0_weight_1.0,0.027777777777777783,3.503582933762497,16.906776618096718
ALAD_ld10_lr1e-5_bs500_epoch2000_enc512_F_sc,0.19444444444444445,2.8511530398322846,14.627
DAGMM_10_1e-07_1000_0.001_0.01_50_15_8,0.0,2.314541850035057,6.512162420992147
DAGMM_10_1e-07_1000_0.01_0.01_50_15_8,0.0,2.314541850035057,6.512162420992147
VAE_PlanarFlow,0.12349309026756836,2.283526101906846,3.448916037848844
VAE-dynamic-beta1-z13_Radius,0.0,2.1999999999999997,28.000000000000004
ALAD_ld10_lr1e-5_bs5000_epoch2000_enc512_F_sc,0.27777777777777785,2.198706643151088,17.40318750960865
LS_VAE_20_0.001_10000,0.0,1.9909360837630878,22.382603645308414
DAGMM_10_1e-07_1000_0.001_0.01_50_10_4,0.0,1.9463509494394877,6.090787205516185
DAGMM_10_1e-07_1000_0.01_0.01_50_10_4,0.0,1.9371997254632807,6.090787205516185
ALAD_ld10_lr1e-5_bs100_epoch2000_enc512_F_sc,0.27777777777777785,1.9102052058945047,18.202627218530605
DAGMM_10_1e-07_1000_0.001_0.01_50_10_8,0.0,1.8962511542455893,5.860946178892933
DAGMM_10_1e-07_1000_0.01_0.01_50_10_8,0.0,1.8962511542455893,5.860946178892933
LS_OR_20_0.001_10000,0.0,1.8424753867791848,35.06990997893124
ALAD_ld10_lr1e-5_bs20000_epoch2000_enc512_F_sc,0.055555555555555566,1.831275720164609,17.932
ALAD_ld10_lr1e-5_bs1000_epoch2000_enc512_F_sc,0.03215434083601286,1.8084480527120839,15.838
DAGMM_10_1e-07_1000_0.001_0.001_50_10_4,0.0,1.7867764813543812,6.109940624401456
DAGMM_10_1e-07_1000_0.01_0.001_50_10_4,0.0,1.7753374513841227,6.109940624401456
DAGMM_10_1e-07_1000_0.001_0.001_50_15_8,0.0,1.7196395271344802,6.550469258762689
DAGMM_10_1e-07_1000_0.01_0.001_50_15_8,0.0,1.7196395271344802,6.550469258762689
DeepSVDD_C25_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C25_d5,0.6,1.7,14.000000000000002
DeepSVDD_Reduced_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C10_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C2_d5,0.6,1.7,14.000000000000002
DeepSVDD_Reduced_d5,0.6,1.7,14.000000000000002
DeepSVDD_C0_d5,0.6,1.7,14.000000000000002
DeepSVDD_C0_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C1_d5,0.6,1.7,14.000000000000002
DeepSVDD_C10_d5,0.6,1.7,14.000000000000002
DeepSVDD_C1_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C2_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C3_d5,0.6,1.7,14.000000000000002
DeepSVDD_C3_d13,0.7000000000000001,1.7,13.597793938724031
DeepSVDD_C4_d5,0.6,1.7,14.000000000000002
DeepSVDD_C4_d13,0.7000000000000001,1.7,13.597793938724031
LS_Average_20_0.001_10000,0.0,1.6911764705882353,32.47809227720743
LS_Product_20_0.001_10000,0.0,1.6862745098039214,32.47809227720743
ALAD_ld40_lr1e-5_bs1000_epoch2000_enc512_F_sc,0.19444444444444445,1.6569767441860463,18.337999999999997
DAGMM_10_1e-07_500_0.001_0.01_100_10_4,0.0,1.6488074662979606,7.431526527485156
DAGMM_10_1e-07_500_0.01_0.01_100_10_4,0.0,1.6453508468717595,7.431526527485156
LS_VAE_30_0.001_10000,0.0,1.6176470588235294,22.294579582455466
DeepSVDD_C2_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C0_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C10_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C10_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C0_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C10_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_C1_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_C1_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C1_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C1_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C4_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C4_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C4_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C4_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_C2_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_C2_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C2_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C3_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C3_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C3_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C10_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C0_d233,0.6,1.5999999999999999,10.435516278555653
DeepSVDD_C25_d144,0.6,1.5999999999999999,13.281566172707194
DeepSVDD_C25_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_Reduced_d34,0.6,1.5999999999999999,12.965338406690355
DeepSVDD_Reduced_d89,0.6,1.5999999999999999,9.1706052144883
DeepSVDD_C25_d233,0.6,1.5999999999999999,10.435516278555653
